Year,Region,Building_type,Steel,Concrete,Wood,Copper,Aluminium,Glass,Brick
2020,15,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,16,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,16,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,16,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,16,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,17,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,17,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,17,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,17,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,18,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,18,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,18,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,18,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,19,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,19,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,19,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,19,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,20,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,20,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,20,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,20,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,21,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,21,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,21,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,21,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,22,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,22,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,22,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,22,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,23,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,23,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,23,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,23,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,24,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,24,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,24,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,24,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,25,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,25,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,25,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,25,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2020,26,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2020,26,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2020,26,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2020,26,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,1,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,1,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,1,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,1,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,2,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,2,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,2,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,2,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,3,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,3,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,3,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,3,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,4,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,4,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,4,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,4,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,5,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,5,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,5,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,5,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,6,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,6,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,6,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,6,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,7,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,7,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,7,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,7,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,8,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,8,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,8,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,8,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,9,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,9,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,9,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,9,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,10,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,10,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,10,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,10,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,11,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,11,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,11,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,11,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,12,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,12,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,12,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,12,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,13,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,13,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,13,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,13,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,14,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,14,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,14,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,14,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,15,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,15,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,15,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,15,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,16,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,16,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,16,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,16,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,17,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,17,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,17,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,17,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,18,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,18,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,18,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,18,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,19,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,19,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,19,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,19,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,20,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,20,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,20,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,20,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,21,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,21,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,21,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,21,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,22,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,22,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,22,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,22,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,23,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,23,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,23,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,23,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,24,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,24,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,24,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,24,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,25,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,25,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,25,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,25,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
2040,26,1,32.62932289,846.3285352,53.06974495,1.727770557,3.563443642,2.676687306,373.2
2040,26,2,32.88595404,1208.131285,34.9679523,0.007892784,0.234259259,1.071428571,307.2
2040,26,3,97.35959253,995.918529,37.16523016,0.306165539,1.941929256,6.353175597,153.6
2040,26,4,116.9821138,910.2057229,54.47676641,0.013888889,2.202264302,4.423718903,76.8
