,Offices,Retail+,Hotels+,Govt+
Steel,130.0,130.0,130.0,130.0
Concrete,1056.8,1056.8,1056.8,1056.8
Aluminium,6.3,6.3,6.3,6.3
Copper,3.8,3.8,3.8,3.8
Wood,24.7,24.7,24.7,24.7
Glass,12.2,12.2,12.2,12.2
Cement,0.0,0.0,0.0,0.0
