,Offices,Retail+,Hotels+,Govt+
Steel,97.9,97.9,97.9,97.9
Concrete,850.9,850.9,850.9,850.9
Aluminium,4.2,4.2,4.2,4.2
Copper,3.3,3.3,3.3,3.3
Wood,11.8,11.8,11.8,11.8
Glass,7.8,7.8,7.8,7.8
Cement,0.0,0.0,0.0,0.0
