Region,Type,Area,Shape,Scale
18,Semi-detached,Urban,1.96820464,67.35799478
18,Appartments,Urban,1.96820464,67.35799478
18,High-rise,Urban,1.96820464,67.35799478
18,Detached,Rural,1.96820464,67.35799478
18,Semi-detached,Rural,1.96820464,67.35799478
18,Appartments,Rural,1.96820464,67.35799478
18,High-rise,Rural,1.96820464,67.35799478
19,Detached,Urban,1.96820464,67.35799478
19,Semi-detached,Urban,1.96820464,67.35799478
19,Appartments,Urban,1.96820464,67.35799478
19,High-rise,Urban,1.96820464,67.35799478
19,Detached,Rural,1.96820464,67.35799478
19,Semi-detached,Rural,1.96820464,67.35799478
19,Appartments,Rural,1.96820464,67.35799478
19,High-rise,Rural,1.96820464,67.35799478
20,Detached,Urban,2,33.85137501
20,Semi-detached,Urban,2,39.49327085
20,Appartments,Urban,2,53.59801044
20,High-rise,Urban,2,56.41895835
20,Detached,Rural,2,31.0304271
20,Semi-detached,Rural,2,31.0304271
20,Appartments,Rural,2,53.59801044
20,High-rise,Rural,2,56.41895835
21,Detached,Urban,1.96820464,56.40061613
21,Semi-detached,Urban,1.96820464,56.40061613
21,Appartments,Urban,1.96820464,56.40061613
21,High-rise,Urban,1.96820464,56.40061613
21,Detached,Rural,1.96820464,56.40061613
21,Semi-detached,Rural,1.96820464,56.40061613
21,Appartments,Rural,1.96820464,56.40061613
21,High-rise,Rural,1.96820464,56.40061613
22,Detached,Urban,1.96820464,67.35799478
22,Semi-detached,Urban,1.96820464,67.35799478
22,Appartments,Urban,1.96820464,67.35799478
22,High-rise,Urban,1.96820464,67.35799478
22,Detached,Rural,1.96820464,67.35799478
22,Semi-detached,Rural,1.96820464,67.35799478
22,Appartments,Rural,1.96820464,67.35799478
22,High-rise,Rural,1.96820464,67.35799478
23,Detached,Urban,1.87660579,41.23323065
23,Semi-detached,Urban,1.88764468,42.57506724
23,Appartments,Urban,1.90454391,43.94751816
23,High-rise,Urban,2.5550987,34.04835016
23,Detached,Rural,1.87660579,41.23323065
23,Semi-detached,Rural,1.88764468,42.57506724
23,Appartments,Rural,1.90454391,43.94751816
23,High-rise,Rural,2.5550987,34.04835016
24,Detached,Urban,1.96820464,94.00102689
24,Semi-detached,Urban,1.96820464,94.00102689
24,Appartments,Urban,1.96820464,94.00102689
24,High-rise,Urban,1.96820464,94.00102689
24,Detached,Rural,1.96820464,94.00102689
24,Semi-detached,Rural,1.96820464,94.00102689
24,Appartments,Rural,1.96820464,94.00102689
24,High-rise,Rural,1.96820464,94.00102689
25,Detached,Urban,1.96820464,67.35799478
25,Semi-detached,Urban,1.96820464,67.35799478
25,Appartments,Urban,1.96820464,67.35799478
25,High-rise,Urban,1.96820464,67.35799478
25,Detached,Rural,1.96820464,67.35799478
25,Semi-detached,Rural,1.96820464,67.35799478
25,Appartments,Rural,1.96820464,67.35799478
25,High-rise,Rural,1.96820464,67.35799478
26,Detached,Urban,1.96820464,67.35799478
26,Semi-detached,Urban,1.96820464,67.35799478
26,Appartments,Urban,1.96820464,67.35799478
26,High-rise,Urban,1.96820464,67.35799478
26,Detached,Rural,1.96820464,67.35799478
26,Semi-detached,Rural,1.96820464,67.35799478
26,Appartments,Rural,1.96820464,67.35799478
26,High-rise,Rural,1.96820464,67.35799478
