t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1971,10905.54685,12765.0098,4011.851576,3177.796195,2262.613865,3068.33433,1269.400871,598.2204418,371.7960347,4278.213543,8150.181901,2159.487929,1837.525953,1449.480103,561.4758949,2651.373002,2388.622803,300.9868123,1223.874266,134.7106708,542.2567256,315.0647386,6819.313022,8777.489983,361.7132678,618.8415327
1972,11403.54571,13336.62293,4276.959014,3258.947985,2460.215215,3088.832601,1321.976117,612.4466072,364.1447083,4154.206659,8549.640522,2274.434807,2023.511603,1472.768203,567.8050916,2695.878237,2698.860593,292.3906612,1248.685335,142.4393519,551.644183,330.0089161,7350.136984,8921.755197,336.1324096,597.2874322
1973,11536.40414,13745.6882,4434.910893,3219.264874,2682.207142,3118.96756,1307.856382,613.0153225,350.3550849,4108.418924,9034.977445,2306.854642,2057.545402,1567.727496,601.530307,2875.212834,2656.937813,280.3509664,1334.735656,149.5062493,568.8773942,340.940289,7634.343899,9367.369581,345.5672327,594.3811745
1974,11622.0364,13750.24376,4467.478376,3134.93219,2820.605269,3072.716014,1300.939051,648.6470913,347.9415197,4073.248546,9303.074462,2516.355639,2073.418343,1623.87907,620.0839908,2986.449602,1961.709922,290.3195927,1436.493874,148.2765235,537.9903951,355.2047383,7767.634592,9900.264972,352.5641988,591.721634
1975,12086.65184,13831.95562,4604.522515,3186.47404,2941.535314,3107.713166,1417.24527,638.9590242,369.1584959,4052.058988,9423.931777,2613.160271,2194.782616,1647.754526,626.1715217,3035.243764,2836.918622,326.344723,1453.768706,144.2319978,616.0947612,385.892318,8282.784655,9792.229713,360.3369808,620.4288662
1976,12757.75478,14429.3983,4748.147094,3291.876653,3127.782422,3042.344281,1538.290046,682.2139582,387.440797,4083.67959,9801.121503,2764.645247,2455.40651,1730.216818,654.3213435,3194.939785,3223.895466,329.5239348,1556.714583,146.7967788,645.2825984,398.4913146,8536.350383,9602.659662,368.7246897,608.0882518
1977,13065.21429,14930.01028,4711.189863,3505.527787,3155.166279,3248.590345,1628.091246,708.6521988,382.9265257,4019.231533,10144.25381,2934.234838,2588.283117,1800.017789,677.4253552,3329.516997,3647.781522,335.9284062,1677.825491,168.7954189,680.3029005,419.5911429,9052.652397,9915.966495,370.0645679,594.8635322
1978,13400.56212,15662.9547,5035.45574,3572.62773,3290.415791,3360.724022,1700.703315,680.784368,383.5788066,3932.533923,10512.11333,3143.607969,2586.656311,1871.817972,701.0540328,3466.433537,4034.939863,351.9787977,1791.740844,188.9961995,717.7557455,447.4891389,9472.432622,10023.52945,395.6182881,579.0971733
1979,13431.80224,16072.39701,5426.143352,3458.073496,3434.926524,3479.764246,1700.236538,659.3334232,395.7130649,3794.71742,10941.79628,3246.758255,2592.119626,1913.905952,713.3912087,3555.478155,3766.622699,334.4996236,1884.159162,181.5732118,742.5408338,452.4383542,9982.995836,9765.244046,406.3915383,528.2007437
1980,13619.92415,16063.05676,5857.819021,3331.902693,3422.691655,3666.66059,1762.091664,632.6658693,408.4899814,3701.88492,11137.41977,3228.377453,2722.756567,1985.810601,736.6939678,3695.733048,3424.690793,340.3643645,2018.185116,295.2829326,784.472242,471.8011612,10238.47435,10226.19664,425.8767711,539.2302657
