t,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26
1990,27.700854,254.8715,83.403974,63.341221,149.570485,145.991832,120.675414,245.36159,153.136883,36.745283,376.40988,130.776438,56.086184,66.206424,50.410902,164.281596,133.661447,862.161572,63.126063,1170.783933,262.206025,181.516218,123.191045,22.660773,281.147825,82.717407
1991,28.051187,257.916909,85.023968,64.463047,152.060235,148.793152,123.315472,252.52022,157.181719,37.640425,377.9008,130.815581,57.079243,66.260947,51.153487,164.742951,137.473598,880.208835,63.817745,1186.737476,267.509177,184.511435,123.645949,22.975845,288.242609,85.123924
1992,28.384867,260.996527,86.666079,65.600657,154.484746,151.596192,125.86158,259.910361,161.114043,38.59106,379.493069,130.681986,58.090247,66.248486,51.814633,164.940142,141.192843,898.410226,64.478529,1201.507775,272.82031,187.470001,124.123346,23.289639,295.425407,87.617418
1993,28.7027,264.128792,88.323488,66.743084,156.87349,154.392521,128.326933,267.461076,165.065245,39.561417,381.095677,130.426265,59.117508,66.155314,52.401,164.926245,144.85159,916.692471,65.11692,1215.291309,278.096703,190.399465,124.602045,23.599763,302.665642,90.168249
1994,29.007518,267.343063,89.987888,67.875505,159.266486,157.17283,130.733955,275.075375,169.220842,40.501321,382.586251,130.121267,60.157392,65.965642,52.925372,164.783228,148.496971,934.961828,65.744521,1228.437171,283.280744,193.310187,125.049347,23.903295,309.926496,92.734655
1995,29.302092,270.654363,91.649922,68.987411,161.691994,159.929337,133.101776,282.688937,173.71069,41.37482,383.886937,129.821555,61.206099,65.671369,53.40026,164.572952,152.16444,953.147871,66.368626,1241.203477,288.332772,196.210694,125.441936,24.198699,317.182002,95.286638
1996,29.584753,274.073135,93.31045,70.074531,164.156557,162.659429,135.433179,290.269023,178.589727,42.167381,384.94188,129.546754,62.264902,65.266278,53.824793,164.316169,155.866737,971.209533,66.994829,1253.629986,293.234943,199.101836,125.772302,24.483671,324.414896,97.816434
1997,29.855979,277.573326,94.960792,71.139908,166.649884,165.360831,137.730524,297.850006,183.808449,42.889689,385.800972,129.287707,63.331832,64.762108,54.204219,164.001617,159.598229,989.14975,67.617519,1265.624044,298.003027,201.984498,126.049359,24.759963,331.630485,100.333787
1998,30.123625,281.089764,96.570954,72.189433,169.16181,168.027389,140.012946,305.516895,189.265476,43.561728,386.62063,129.0358,64.395636,64.191969,54.565435,163.622394,163.354364,1006.996257,68.220873,1277.164964,302.672495,204.867066,126.285584,25.034827,338.85391,102.848028
1999,30.398127,284.535246,98.102858,73.232378,171.67532,170.652515,142.303643,313.391516,194.808779,44.215004,387.620658,128.772051,65.441668,63.601039,54.942846,163.161686,167.12414,1024.799125,68.782786,1288.206112,307.296184,207.759478,126.50008,25.318317,346.123728,105.375208
2000,30.686824,287.848457,99.530617,74.275772,174.174447,173.23257,144.620652,321.561462,200.330637,44.871893,388.952844,128.48433,66.459578,63.023943,55.361842,162.6118,170.901038,1042.589892,69.288029,1298.727299,311.913083,210.667883,126.705775,25.617165,353.467346,107.929081
2001,30.993183,291.001738,100.840416,75.321588,176.659138,175.763574,146.971755,330.053137,205.797438,45.536057,390.671327,128.172299,67.444117,62.472997,55.834266,161.974411,174.680991,1060.370888,69.731864,1308.649542,316.53441,213.593906,126.907305,25.934578,360.894248,110.514119
2002,31.314909,294.015041,102.042482,76.368278,179.123364,178.249027,149.358211,338.838787,211.251464,46.197484,392.709404,127.848614,68.398136,61.945983,56.356905,161.271153,178.472066,1078.110619,70.120314,1318.131329,321.150299,216.532885,127.097361,26.267332,368.393826,113.132653
2003,31.646427,296.933763,103.165193,77.415329,181.537357,180.702413,151.782723,347.885593,216.751748,46.848521,394.948929,127.528566,69.329456,61.445042,56.920977,160.537756,182.293469,1095.766968,70.465676,1327.263621,325.753526,219.476241,127.262648,26.607991,375.949712,115.794752
2004,31.979221,299.827343,104.25051,78.461174,183.863524,183.142421,154.245463,357.139069,222.388832,47.477076,397.214198,127.232269,70.250175,60.96768,57.510516,159.820111,186.170746,1113.283424,70.78619,1336.161918,330.329825,222.411761,127.38419,26.945753,383.537055,118.511885
2005,32.307086,302.746757,105.329645,79.505189,186.074634,185.58294,156.745615,366.557173,228.227509,48.07344,399.372731,126.973437,71.169037,60.511965,58.113597,159.152189,190.119345,1130.617757,71.095511,1344.919517,334.869062,225.328494,127.448657,27.272788,391.139169,121.294966
2006,32.65190366,305.5456392,106.6664989,80.5047974,188.0468102,188.025172,159.2245023,376.1901168,234.2051798,48.61472704,401.6513877,126.8656447,72.13025659,60.07966915,58.69469367,158.9038971,195.0111539,1147.472924,71.45719589,1352.133026,339.1412184,228.0133532,127.5211021,27.69904199,397.6390969,124.1747602
2007,33.00151584,308.3199641,108.0369764,81.50296065,189.8875365,190.4538843,161.7319864,386.0515027,240.3174265,49.12927899,403.8975568,126.8119773,73.10073379,59.6780403,59.34929311,158.7857423,200.142819,1164.266023,71.81650758,1359.265655,343.3725513,230.6248988,127.5722225,28.15872339,403.928622,127.1384735
2008,33.35239295,311.0783881,109.4281382,82.50608286,191.6335261,192.8738302,164.2562505,396.1467957,246.5631708,49.60898049,406.0570402,126.792694,74.07304913,59.30347169,60.05726825,158.7599982,205.377415,1181.018421,72.17034174,1366.292176,347.5737379,233.1831521,127.6016201,28.63584761,410.1486673,130.2207806
2009,33.70014176,313.8298438,110.8191082,83.52227073,193.337702,195.2905055,166.7822095,406.4854418,252.9376421,50.04365814,408.0702959,126.7791332,75.03649331,58.9500407,60.78859817,158.7694355,210.5279622,1197.755624,72.51363863,1373.15024,351.7567494,235.7185504,127.6087441,29.10818105,416.4924597,133.4653841
2010,34.04153692,316.5808487,112.1937243,84.5569428,195.0383633,197.7072588,169.2978152,417.0737113,259.4359197,50.42721133,409.8966556,126.7498873,75.98284163,58.61281866,61.52086925,158.7704025,215.4601595,1214.490041,72.84276363,1379.786678,355.9291977,238.2522598,127.5928272,29.5595451,423.0949601,136.9027299
2015,35.88386486,329.2804342,118.6727356,89.15913512,203.2462503,208.9080257,181.6345991,471.6503023,293.526095,52.80106126,419.0400306,126.4279341,80.46335612,56.92591022,64.74654603,158.8917759,239.9656755,1297.120238,73.93425615,1402.897315,375.8951028,250.1296424,127.1582275,31.87885751,457.7681365,154.0880522
2020,37.79123968,342.4543035,124.8154317,93.3414531,210.8428478,219.3405053,193.2926603,530.4243137,329.5182238,55.11858255,426.3229103,125.9624476,84.60965975,55.40299288,67.60447133,158.4550305,263.0653339,1376.613583,74.64780804,1419.541261,394.8187289,260.8121734,125.8554367,34.15751588,494.0729428,172.6199554
2025,39.66959358,355.650612,130.3834248,97.08028522,217.5230112,228.8644627,203.7969951,592.052976,366.0802337,57.17860148,433.2229515,125.2856481,88.36744323,54.0650655,69.97611371,157.4949864,285.20209,1449.68645,75.04540157,1426.068178,411.5689204,269.9326499,123.8760418,36.39247117,529.2468752,191.6872583
2030,41.41385083,368.2369814,135.2649394,100.3376478,222.9245692,237.3196294,213.0165683,655.7575639,402.6563397,58.92881287,439.5671312,124.2709473,91.66673118,52.85613111,71.8189234,156.2175805,306.3029511,1515.958012,75.07563682,1421.95032,425.8659184,277.3805263,121.4156629,38.49631721,561.9274602,211.0555973
2035,43.02301071,379.9920792,139.3808425,103.0622113,227.0485222,244.5277065,221.1612411,720.7775798,438.9303885,60.38028129,445.398208,122.8665137,94.49812391,51.79318881,73.23623552,155.033692,326.5718965,1577.289752,74.59338459,1406.693625,437.5562088,283.2240524,118.6527785,40.49141373,592.179379,230.4310077
2040,44.5721273,390.8842866,142.7341018,105.2354973,229.9498962,250.5437864,228.3845709,785.9343031,474.6345561,61.61347621,450.7489966,121.2587411,96.86788787,50.88423814,74.35569935,154.248744,345.8989374,1632.278368,73.5170097,1380.872796,446.6094929,287.2815493,115.7124241,42.4214638,620.1163447,249.6165026
2045,46.10122947,400.8738248,145.3059231,106.8677716,231.6406969,255.2666997,234.5862335,850.2576181,509.1898994,62.61532135,455.423603,119.5682376,98.75200165,50.05728303,75.12868659,153.522493,363.5891442,1680.56287,71.89942384,1346.047598,453.016681,289.3905634,112.6409839,44.30069633,645.3022824,267.9918266
2050,47.6193237,410.337061,147.1071871,107.9426089,231.9778566,258.6603858,239.4550199,913.1136081,541.852351,63.4149869,459.1913297,117.7959998,100.1379324,49.26632596,75.45692757,152.7395348,379.2265591,1719.461611,69.8177269,1303.494016,456.7686835,289.4222851,109.5161011,46.1087843,667.196793,285.4620219
